State,District,Market,Commodity,Modal Price,,
Bihar,Kishanganj,Bahadurganj,Brinjal,2900,,
Bihar,Kishanganj,Bahadurganj,Green Chilli,4300,,
Bihar,Kishanganj,Bahadurganj,Onion,1900,,
Bihar,Kishanganj,Bahadurganj,Pointed gourd (Parval),2300,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,20000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,2200,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,2500,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),1200,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),12000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,3500,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,2200,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mango,3000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mousambi(Sweet Lime),4000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,1500,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Peas Wet,6000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Plum,4000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,10000,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,1200,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,800,,
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),1355,,
Chattisgarh,Bijapur,Bharamgarh,Tamarind Seed,3100,,
Chattisgarh,Bijapur,Bhopalpattnam,Tamarind Seed,3100,,
Chattisgarh,Bijapur,Bijapur,Tamarind Seed,3100,,
Chattisgarh,Bilaspur,Takhatpur,Lak(Teora),3200,,
Chattisgarh,Bilaspur,Tiphra,Apple,13300,,
Chattisgarh,Bilaspur,Tiphra,Banana,3200,,
Chattisgarh,Bilaspur,Tiphra,Beetroot,2300,,
Chattisgarh,Bilaspur,Tiphra,Bhindi(Ladies Finger),4600,,
Chattisgarh,Bilaspur,Tiphra,Bitter gourd,2500,,
Chattisgarh,Bilaspur,Tiphra,Bottle gourd,1200,,
Chattisgarh,Bilaspur,Tiphra,Brinjal,2900,,
Chattisgarh,Bilaspur,Tiphra,Cabbage,1000,,
Chattisgarh,Bilaspur,Tiphra,Capsicum,5100,,
Chattisgarh,Bilaspur,Tiphra,Cauliflower,2500,,
Chattisgarh,Bilaspur,Tiphra,Cluster beans,3600,,
Chattisgarh,Bilaspur,Tiphra,Drumstick,2100,,
Chattisgarh,Bilaspur,Tiphra,Green Chilli,4400,,
Chattisgarh,Bilaspur,Tiphra,Lemon,2300,,
Chattisgarh,Bilaspur,Tiphra,Mango,4300,,
Chattisgarh,Bilaspur,Tiphra,Onion,1200,,
Chattisgarh,Bilaspur,Tiphra,Orange,3400,,
Chattisgarh,Bilaspur,Tiphra,Papaya,2100,,
Chattisgarh,Bilaspur,Tiphra,Pomegranate,17100,,
Chattisgarh,Bilaspur,Tiphra,Potato,1500,,
Chattisgarh,Bilaspur,Tiphra,Pumpkin,1000,,
Chattisgarh,Bilaspur,Tiphra,Raddish,1600,,
Chattisgarh,Bilaspur,Tiphra,Spinach,2600,,
Chattisgarh,Dhamtari,Belarbahara,Paddy(Dhan)(Common),1500,,
Chattisgarh,Dhamtari,Boraee,Maize,2000,,
Chattisgarh,Dhamtari,Boraee,Paddy(Dhan)(Common),1500,,
Chattisgarh,Dhamtari,Gattasilli,Paddy(Dhan)(Common),1550,,
Chattisgarh,Dhamtari,Nagari,Paddy(Dhan)(Common),1800,,
Chattisgarh,Kabirdham,Kawardha,Soyabean,4497,,
Chattisgarh,Kabirdham,Kawardha,Wheat,2200,,
Chattisgarh,Kanker,Bhanupratappur,Maize,1550,,
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),2000,,
Chattisgarh,Kanker,Korar,Maize,1550,,
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),2000,,
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),2000,,
Chattisgarh,Kanker,Sambalpur,Mahua Seed(Hippe seed),2500,,
Chattisgarh,Kanker,Sambalpur,Paddy(Dhan)(Common),1500,,
Chattisgarh,Koria,Baikunthpur,Mahua,3100,,
Chattisgarh,Koria,Baikunthpur,Maize,1965,,
Chattisgarh,Koria,Baikunthpur,Wheat,2130,,
Chattisgarh,Mungeli,Lormi,Paddy(Dhan)(Common),1820,,
Chattisgarh,Mungeli,Sargaon,Paddy(Dhan)(Common),1770,,
Chattisgarh,Raigarh,Raigarh,Onion,1800,,
Chattisgarh,Raigarh,Raigarh,Potato,1600,,
Chattisgarh,Raigarh,Raigarh,Tomato,9500,,
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),2100,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Apple,16000,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Banana,4500,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Bhindi(Ladies Finger),2500,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Bitter gourd,2600,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Brinjal,2200,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Cabbage,1400,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Capsicum,5000,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Lemon,2500,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Mango,6000,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,1800,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,1600,,
Chattisgarh,Rajnandgaon,Rajnandgaon,Raddish,1400,,
Chattisgarh,Surajpur,Pratappur,Maize,2000,,
Chattisgarh,Surajpur,Surajpur,Maize,1965,,
Gujarat,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),8250,,
Gujarat,Amreli,Amreli,Bengal Gram(Gram)(Whole),4900,,
Gujarat,Amreli,Amreli,Castor Seed,6000,,
Gujarat,Amreli,Amreli,Corriander seed,6690,,
Gujarat,Amreli,Amreli,Cotton,6895,,
Gujarat,Amreli,Amreli,Green Gram (Moong)(Whole),7500,,
Gujarat,Amreli,Amreli,Ground Nut Seed,11150,,
Gujarat,Amreli,Amreli,Groundnut,8510,,
Gujarat,Amreli,Amreli,Groundnut,8170,,
Gujarat,Amreli,Amreli,Groundnut (Split),9850,,
Gujarat,Amreli,Amreli,Jowar(Sorghum),4375,,
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",16250,,
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",17380,,
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",17000,,
Gujarat,Amreli,Amreli,Soyabean,4700,,
Gujarat,Amreli,Amreli,Wheat,2555,,
Gujarat,Amreli,Amreli,Wheat,2480,,
Gujarat,Amreli,Babra,Cotton,7175,,
Gujarat,Amreli,Babra,Groundnut,6825,,
Gujarat,Amreli,Bagasara,Arhar (Tur/Red Gram)(Whole),8525,,
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),4585,,
Gujarat,Amreli,Bagasara,Corriander seed,6510,,
Gujarat,Amreli,Bagasara,Cotton,5850,,
Gujarat,Amreli,Bagasara,Jowar(Sorghum),3360,,
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),3750,,
Gujarat,Amreli,Damnagar,Brinjal,3700,,
Gujarat,Amreli,Damnagar,Cabbage,1850,,
Gujarat,Amreli,Damnagar,Cauliflower,6850,,
Gujarat,Amreli,Damnagar,Coriander(Leaves),6750,,
Gujarat,Amreli,Damnagar,Ginger(Green),15500,,
Gujarat,Amreli,Damnagar,Green Chilli,3800,,
Gujarat,Amreli,Damnagar,Guar,6750,,
Gujarat,Amreli,Damnagar,Lemon,1600,,
Gujarat,Amreli,Damnagar,Tomato,12500,,
Gujarat,Amreli,Savarkundla,Bajra(Pearl Millet/Cumbu),2003,,
Gujarat,Amreli,Savarkundla,Bengal Gram(Gram)(Whole),4593,,
Gujarat,Amreli,Savarkundla,Cotton,6903,,
Gujarat,Amreli,Savarkundla,Groundnut,7408,,
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),3600,,
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",15075,,
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",16600,,
Gujarat,Amreli,Savarkundla,Wheat,2503,,
Gujarat,Amreli,Savarkundla,Wheat,2460,,
Gujarat,Banaskanth,Deesa,Bajra(Pearl Millet/Cumbu),2225,,
Gujarat,Banaskanth,Deesa,Castor Seed,6325,,
Gujarat,Banaskanth,Deesa,Groundnut,7000,,
Gujarat,Banaskanth,Deesa,Guar Seed(Cluster Beans Seed),5750,,
Gujarat,Banaskanth,Deesa,Mustard,5305,,
Gujarat,Banaskanth,Deesa,Wheat,2175,,
Gujarat,Banaskanth,Deesa(Bhildi),Bajra(Pearl Millet/Cumbu),2250,,
Gujarat,Banaskanth,Deesa(Bhildi),Castor Seed,6350,,
Gujarat,Banaskanth,Deesa(Bhildi),Rajgir,12000,,
Gujarat,Banaskanth,Deesa(Bhildi),Wheat,2200,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Apple,21750,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Banana,3075,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bhindi(Ladies Finger),1850,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bottle gourd,1900,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Brinjal,3350,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Cabbage,2325,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Cauliflower,3750,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Chikoos(Sapota),8500,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Coriander(Leaves),7500,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Cucumbar(Kheera),1325,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),8525,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Green Chilli,5625,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Guar,7625,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Lemon,2825,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Mousambi(Sweet Lime),3200,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Onion,1025,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Onion Green,4300,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Orange,11575,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pointed gourd (Parval),3750,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pomegranate,10625,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Potato,900,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Ridgeguard(Tori),4000,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Tomato,9675,,
Gujarat,Banaskanth,Dhanera,Bajra(Pearl Millet/Cumbu),2185,,
Gujarat,Banaskanth,Dhanera,Castor Seed,6325,,
Gujarat,Banaskanth,Dhanera,Guar Seed(Cluster Beans Seed),5700,,
Gujarat,Banaskanth,Dhanera,Methi Seeds,6855,,
Gujarat,Banaskanth,Dhanera,Mustard,5260,,
Gujarat,Banaskanth,Dhanera,Wheat,2030,,
Gujarat,Banaskanth,Palanpur,Bajra(Pearl Millet/Cumbu),2005,,
Gujarat,Banaskanth,Palanpur,Castor Seed,6325,,
Gujarat,Banaskanth,Palanpur,Groundnut,6977,,
Gujarat,Banaskanth,Palanpur,Mustard,5255,,
Gujarat,Banaskanth,Palanpur,Rajgir,12040,,
Gujarat,Banaskanth,Palanpur,Wheat,2232,,
Gujarat,Banaskanth,Panthawada,Bajra(Pearl Millet/Cumbu),1967.5,,
Gujarat,Banaskanth,Panthawada,Castor Seed,6345,,
Gujarat,Banaskanth,Panthawada,Mustard,5182.5,,
Gujarat,Banaskanth,Panthawada,Wheat,2250,,
Gujarat,Banaskanth,Vav,Cummin Seed(Jeera),52377.5,,
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),3000,,
Gujarat,Bharuch,Ankleshwar,Bitter gourd,4000,,
Gujarat,Bharuch,Ankleshwar,Bottle gourd,2500,,
Gujarat,Bharuch,Ankleshwar,Brinjal,4000,,
Gujarat,Bharuch,Ankleshwar,Cabbage,900,,
Gujarat,Bharuch,Ankleshwar,Cauliflower,2300,,
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),1300,,
Gujarat,Bharuch,Ankleshwar,Drumstick,3500,,
Gujarat,Bharuch,Ankleshwar,Ginger(Green),9500,,
Gujarat,Bharuch,Ankleshwar,Green Chilli,5000,,
Gujarat,Bharuch,Ankleshwar,Lemon,2500,,
Gujarat,Bharuch,Ankleshwar,Methi(Leaves),3500,,
Gujarat,Bharuch,Ankleshwar,Onion,1200,,
Gujarat,Bharuch,Ankleshwar,Pointed gourd (Parval),2800,,
Gujarat,Bharuch,Ankleshwar,Potato,1400,,
Gujarat,Bharuch,Ankleshwar,Tomato,9000,,
Gujarat,Bharuch,Jambusar,Arhar (Tur/Red Gram)(Whole),7600,,
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),2400,,
Gujarat,Bharuch,Jambusar,Castor Seed,5400,,
Gujarat,Bharuch,Jambusar,Cotton,5800,,
Gujarat,Bharuch,Jambusar,Jowar(Sorghum),2800,,
Gujarat,Bharuch,Jambusar,Maize,2200,,
Gujarat,Bharuch,Jambusar,Rice,3300,,
Gujarat,Bharuch,Jambusar,Wheat,3200,,
Gujarat,Bharuch,Jambusar(Kaavi),Arhar (Tur/Red Gram)(Whole),7600,,
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),2200,,
Gujarat,Bharuch,Jambusar(Kaavi),Castor Seed,5300,,
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,5600,,
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),2600,,
Gujarat,Bharuch,Jambusar(Kaavi),Maize,2000,,
Gujarat,Bharuch,Jambusar(Kaavi),Rice,3400,,
Gujarat,Botad,Botad(Haddad),Cotton,6955,,
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),7800,,
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),8000,,
Gujarat,Dahod,Dahod,Bengal Gram(Gram)(Whole),5075,,
Gujarat,Dahod,Dahod,Bengal Gram(Gram)(Whole),5200,,
Gujarat,Dahod,Dahod,Black Gram (Urd Beans)(Whole),7700,,
